,Date,Price
153,2021-09-24,61661.776704736854
154,2021-09-25,61666.58709570969
155,2021-09-26,61661.776704736854
156,2021-09-27,61661.776704736854
157,2021-09-28,61823.856449685714
158,2021-09-29,61661.776704736854
159,2021-09-30,61641.505277222066
160,2021-10-01,61202.59257853989
161,2021-10-02,62191.92442811591
162,2021-10-03,62703.94074730412
163,2021-10-04,62076.98953118913
164,2021-10-05,62050.00139243026
165,2021-10-06,62076.98953118913
166,2021-10-07,62076.98953118913
167,2021-10-08,62076.98953118913
168,2021-10-09,62703.94074730412
169,2021-10-10,62115.78392339482
170,2021-10-11,62709.750209345824
171,2021-10-12,62904.71218450582
172,2021-10-13,62904.71218450582
173,2021-10-14,62845.647885173305
174,2021-10-15,62904.71218450582
175,2021-10-16,62904.71218450582
176,2021-10-17,62845.647885173305
177,2021-10-18,62845.647885173305
178,2021-10-19,62845.647885173305
179,2021-10-20,62845.647885173305
180,2021-10-21,62845.647885173305
